d100,1)Evil_Items,2)Helpful_Items,3)Mixed_Items,4)Small_Items,5)Potions,6)Holy_Rings,7)Gnome_Items,8)Wild_Items,9)Good_Items,10)Powerful_Items,11)Legendary_Items
11,"Hand of the Mud-Sculptor - This slender wrought-silver pen is tipped with a tiny pointing hand that acts as the nib. Dipping the artifact in any ink and writing instructions on a clay item animates it into a walking, talking golem. Use an appropriate construct or animated object as a template. The golem follows the written instructions absolutely literally, and will even die if instructed to do so. Apart from motions and speech, the golem will not follow any physically impossible instructions, such as flight or magical aptitude. Even after shattering the golem, erasing some of the writing, or killing the creator, the remaining parts will continue following the inscription. Burying the parts in consecrated earth will instantly end the effect. At nightfall every Saturday, 10% of the inscriptions burn off, possibly corrupting the instructions.","Belt of Returning - A finely crafted dark leather belt with three loops, each decorated with a shard of sapphire. The magic of the belt leaves an invisible mark on the surface of the weapons stowed in each loop and invisibly inscribes the name of the item on the sapphire shard. Three one-handed weapons with the thrown property can be 'attuned' to the belt. When a weapon, from the belt, is thrown at an object or creature, hit or miss, the weapon will return to the belt at the end of your turn.",A vase that keeps any flowers placed in it from wilting.,A music box which can record 1 minute of music played by an instrument.,"You gain a vague, mystical vision of the future.",Your Max Hit Points cannot be reduced.,"Dwarven Drinking Helm - 50 g Helm with large hollow “Viking” horns. Pour 1 potion into reservoir in horns, can be sipped as a bonus action. Potions in reservoir expire after 1 day.","Duplicator - A coffin-sized box. Put one thing in, get two copies. Both copies are hugely inferior to the original.",Cloak of protection,Adamantine armor (splint),Rod of alertness
12,"Drelb Draught- this brew is an ashen grey, constantly exuding a small amount of smoky, incorporeal mist. Incorporeal undead can drink it without suffering any ill effects. However, living creatures that drink it immediately drop to 0 hit points and begin making death saving throws. Once a death saving throw is failed, the creature stops making further death saving throws and instead becomes a wraith in the same location as their original body. This transformation follows the rules for the druid's Wild Shape feature, except for the rule about what happens to one's equipment. This transformation lasts for 1 hour, or until the victim uses an action to undo the process. If the creature's original body dies for whatever reason, the transformation is instead permanent.","Blanket of Starlight - A soft, well made blanket that can, once per long rest, emit a soft glow, maintained by concentration. The blanket was crafted by an enchanter after his young son confided he was afraid of the dark to help his son get to sleep.",A silver broach that can change into the shape of any flower the wearer is familiar with.,An intricately carved troglodyte skull that hums a sad tune.,Your skin turns pale and your blood stops pumping. You become undead for 1d4 hours.,You can stand up from Prone using only 5ft of Movement.,Fine Boots - 20 g Allows advantage on CON saving throws for Exhaustion when traveling more than 8 hours on foot.,Mammoth Mask - Highly ornate with a prehensile trunk and tusks that can be used as a weapon (d6) at a push.,Gauntlets of ogre power,Amulet of health,Rod of security
13,"Envious Mirror - A magic mirror that hold the visage of the most beautiful person it's ever seen. The image ages causing the mirror to seek out a new image as it's beauty fades. When it finds a victim they are transformed (age, appearance, race, gender) into the old reflection as theirs is stolen. Shattering the mirror does nothing as remove curse is the only salvation from this fate.","Bracelets of Bonding - A set of bracelets that when one is broken the other immediately breaks as well. When one is mended, the other mends itself. Created by a brother who was going off to war, for his younger brother staying home. This was so the older brother would know if things got bad at home. If the bracelet snapped, he promised to come home no matter what.",A pea-sized crystal and a compass that always points toward the crystal.,A soft leather pouch with fancy gold numbers that show how many gold pieces are inside of it.,Your body turns to stone for 1d4 days.,Insects scatter if within 15 feet of you.,"Fire Snakeskin Boots - 100 g Provides resistance to fire damage, but only for the feet.","Smart Arm - The fanciest weapon you own is also intelligent, communicating psychically to whoever is holding it. It functions as a normal weapon and gives smart advice. Once per day it can Enhance an attack that particularly pleases it, but it can Impair attacks attacks that displease it any time it likes. Roll 1d6 to find its personality: 1: Honourable, 2: Ambitious, 3: Bloodthirsty, 4: Curious, 5: Pacifist, 6: Bored.",Hat of disguise,Armor of vulnerability,"Rod of the pact keeper, +3"
14,"Vampiric Etheral Cloak - As a bonus action, the wearer of the cloak enters the Ethereal Plane from the Material Plane, or vice versa. While on the Ethereal Plane, the wearer of the cloak can touch a wounded creature on the Material Plane. As long as the contact persists, the target has dreadful visions and disadvantage to all its attacks. Starting at the second round of the creature after touching it, if the contact persists, the wearer of the cloak is slowly draining 1d4+4 life out of the creature and heals itself for the same amount, if the creature fails a DC 14 Constitution saving throw.","Bracers of the Woodland Hunter, Uncommon - Once per long rest, you may cast Hunters Mark as a first level spell without using a spell slot. While wearing these, non-magical difficult terrain does not slow your movement.",A small copper feather that negates the first 20 feet of falling damage.,A playing card that changes its face whenever it is tapped.,Your hair turns the color of the potion you drank.,Any ship you are on-board has favorable winds in the sails and can move at maximum speed.,Grick-Leather Armor - 200 g Light armor. AC 12. Advantage to hide among stone. Contains no metal.,"Devourer - A football-sized bug that curls up in your backpack, but can be woken once per day to eat its own size in organic matter, no matter how inedible.",Javelin of lightning,Arrow-catching shield,Scimitar of speed
15,"Harrowing Ring — The Identify spell incorrectly claims this is a Ring of Protection. It does provide those benefits, but it also makes the user extremely paranoid. It causes hourly invasive thoughts about the wearer’s safety. You must succeed high DC Wisdom saving throws at night or you fail to gain long rest benefits due to being kept awake by fear. The wearer refuses to part with the ring because it provides safety bonuses. The ring can be removed like other cursed objects.","Captured Sunlight - Sun-filled mirror-catch box, it has enough sunlight to fill a room with bright light. Built by a retired adventuring dwarf and filled by passing adventurers. Inflicts 1d4 radiant damage for 120ft every round of combat when placed on the ground, until closed or destroyed.","A fishing hook that wriggles like a worm, negating the need for bait.",An icecube that never melts.,"You are filled with courage, making you immune to fear effects for 1d4 days.",No one can steal from you. They will always either find nothing or anything they take reappears where they took it.,"Miner's Helmet - 20 g A helmet with a small lamp attached, allowing hands-free lighting. Casts bright light in a 15-foot cone and dim light for an additional 15 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",Truth Leaf - Smoking this hallucinogenic herb reveals a ridiculous truth and a ridiculous lie. Three doses.,Pearl of power,Belt of dwarvenkind,"Shield, +3"
16,"Helm of Twin-Linked Thoughts: This circlet is one of a pair. It enables the wearers to communicate telepathically over any distance. When one of the last users died while wearing it, the other's soul was trapped inside. It works as a helm of telepathy like normal, but when first attuned, the spirit inside tries to possess the wearer.","Censer of Serenity - An enchanted censer that was made by a daughter for her father, who was suffering from PTSD following the battle that robbed him of his arm. No matter what incense is burned in the censer, it gives advantage on wisdom saving throws.","A palm-sized crytal ball, that appears to be raining inside.",A sword that sofly sobs and whines whenever it is touched.,You feel your tongue begin to twist. You can only speak in rhyme for 1d4 hours.,Merchants will never overcharge you for goods and services and may sometimes offer you deals.,"Oilcloth Cloak - 20 g Plus 1 AC against splashed liquids (acid, contact poison). Advantage against spider webs and sticky traps.","Dehydrated Beasts - Three rubbery things resembling toy animals. If thrown into water, roll d6 to see what the thing expands into. 1: Mishydration (just a mass of twitching flesh), 2: Crush Beast (STR 18, 7hp, d12 Crush), 3: Brain Beast (WIL 18, 9hp, d8 Brain-Ray), 4: Wing Beast (12hp, d8 Beak), 5: Slime Beast (8hp, Armour 2, d6 Slime Spew), 6: Jaw Beast (STR 14, 10hp, d10 Jaws). When there's nothing left to kill, the creature collapses into inert powder.","Rod of the pact keeper, + 1",Belt of hill giant strength,Staff of fire
17,"The Wielder - A magical, sentient +1 longsword which can transform into any simple or martial weapon at will. Over time, it gradually removes the free will of the user, until they are no more than a weapon for the sword to wield.",Circlet of Mental Fortitude (Requires Attunement) - A copper studded head band that soothes head pain when worn. Made for an elf who suffered from chronic migraines. Grants resistance against psychic damage.,A small box that opens on the top and bottom. Each side of the box opens into a separate extradimensional space the size of the box.,A quill that writes down all the words it is dictated.,You lose your shadow permanently.,"You always know your cardinal directions, and your depth or elevation.","Smith's Gloves - 40 g Resistance to fire damage, but only against objects being gripped by hand.",Hover Plate - Platter-sized tray that freezes in space if you whistle a specific tune. There's a second tune to release it. It supports up to one person's weight and can be forcibly released with a STR Save.,Slippers of spider climbing,Berserker axe,Staff of frost
18,"Gun'Gnir - This cannontip spear absorbs the souls of the slain. At any time you can aim the spear at a foe, doing 1d6 damage per CR of collected enemies on a ranged touch attack. Necrotic damage. You must ALSO make a daily will save with DC equal to the total CR of the currently stored souls... Or go insane and start rolling on insanity tables (or go berserk until subdued).","Circlet of the Planeswalker, Very Rare (Requires Attunement) - While you wear this circlet, you can choose to be considered on your native plane for the effects of banishment and other spells used against you. Whenever you teleport or cross a planar boundary (such as with the Blink spell), you may heal 1d4 Hit Points.",A stone mug carved with images of feasting dwarves. Any water put in the mug turns into dwarven ale. If you drink the ale you must make a constitution save DC 13 or become drunk for the next 1d4 hours. While drunk you are considered 'poisoned' and can speak Dwarven.,A book that changes its contents to a different children's story every week.,You switch to the opposite gender.,"After each Long Rest, choose what color your hair and/or eyes have changed to while resting.","Spiked Gauntlet - 5 g Simple weapon. 1d4 piercing damage, strength modifier. You cannot be disarmed of this weapon. You can hold and wield any other object or weapon in the same hand as this weapon, but you cannot attack with that weapon and this on the same turn.","Spare Head - A completely different head that you can switch with your own. Both heads can survive just fine off your body, and generally dislike not being the main head. Roll a new WIL score for each head. WIL damage and psychological effects only affect one head at a time.",Staff of the adder,Boots of levitation,Staff of power
19,"The Needed Cane - A small, sturdy wooden cane lies innocent. If a player picks it up, it acts as a normal cane. However, if at any point they lean on it or use it to support them, it's curse activates. For the next 1d10 days the user cannot do anything but the crawl if they are not supported by the crane.","Cloak of Death - This garment gives you an undead appearance—a skeletal face crusted with desiccated skin, with black holes for eyes. Gives disadvantage to attacks from undead, because undead creatures are confused by your grotesque appearance. Great for looking like a lich without actually being one.","A rose that never wilts. Once per day, the rose can cause a flowering plant to sprout flowers and bloom.","A painting showing a nature scene, birds fly across the scene in the paintint every now and then.",The potion gives you resistance to cold damage for 1d4 hours.,Your skin tone/color has a tendancy to change with your mood. This can range from subtle to extreme.,"Spiked Shield - 15 g Acts as normal shield. On a successful shove, add 1d4 piercing damage","Genesis Molasses - A tin of deep green syrup that causes lush vegetation to grow within minutes, no matter where it is spread. If eaten, the victim loses d6 STR and begins coughing up moss.",Staff of the python,Boots of speed,Staff of striking
20,"Leech seeds - A broken glass vial containing several emerald-green seeds with a swirling pattern of grooves. At midnight, if the seeds are within 5ft of a living entity, they will burrow through any non-magical and non-glass barrier to feed on the blood of the living, dealing 1d4 damage per seed per night.",Cloak of the Nord - A hooded cloak made of various patches of leather that has a belt fastened to the front. It generates heat on the wearer if blown upon by wind. It was made as gift for a lover so that they could travel the mountain ranges without worry of freezing. Gives resistance against Cold damage.,"A white sphere, 6 inches in diameter. Once a day, the sphere can be activated for one hour, and will glow like a tiny sun, providing light equal to a light spell.",A bag that sighs as if annoyed whenever an item is placed inside.,You begin to hover one foot off the ground for 1d4 hours.,When you roll Hit Dice for healing you may reroll any 1s rolled. You must keep the new result.,Spring Heel Boots - 40 g Activate as a bonus action. Adds +5 ft to jump. Reset requires an action.,"Demon Collar - Any being wearing this collar begins to take on a demonic appearance and loses d6 WIL each day. At WIL 0 they lose their identity, claim a new identity in your service, but will only follow instructions that cause harm to others.",Sword of vengeance,Bowl of commanding water elementals,Staff of thunder and lightning
21,"Necklace of the Dead: A necklace made from shrunken heads. The eyes of the heads have been plucked out. If you place a small gem in one of the eye sockets, and wear the necklace, you can cast Speak With Dead once per gem. The gem dissolves after use.",Cloak of Vigor - A dark red cloak with an extra long flap in the back that will bend and stiffen into a functional chair when the wearer tries to sit down. Made for a wizard that had difficulty walking across town without breaks. Grants the ability to take a short rest in a fraction of the usual time. 1 use a day.,"A gemstone with a bloodshot beholder's eye visible deep inside it. While holding the gem, once per day the owner can gain 1d4 to a saving throw against a spell.",A key that will only open the lock it was made for ... when asked kindly.,You suddenly feel another arm growing out of your back. This third arm lasts for 1d4 days before it falls off. It functions as a normal arm.,All healing magic cast on you may reroll any 1s rolled.,"Swim Fins - 10 g Adds +5 swim speed. If worn on land, reduces walk speed by 10. Requires an action to wear/remove.","Beserker Gland - When you take Ability Score Loss or suffer serious pain you fly into a rage. If your next attack is a melee attack, it is Enhanced. If it is ranged, it is Impaired. Once the attack is out of your system you return to normal.",Trident of fish command,Bracers of defense,Sword of sharpnes
22,"Phobetor’s Ring – Sometimes sacrifices must be made for a greater good. While attuned to this ring, touch a sleeping child to infuse it with hellish nightmares for the next week. Once you did so, the ring can be used a spell casting focus that provides one additional LVL 1 spell slot. If this spell slot is used up, the ring can be recharged by repeating the procedure with a different sleeping child.","Collar of Finding - A leather collar with a small metal emblem of a star on it. A matched bracelet with the same emblem. A person wearing the bracelet can make a small light hover 50 feet above the collar. A wife commissioned this collar after her husband, a retired soldier with significant PTSD, lost the dog that he had bonded with.","A mixing bowl. When any edible food is left inside the bowl for over an hour, the food will become a hearty stew. Poisonous material are not affected.",A canvas tent that takes on the color of its surroundings when pitched.,The potion gives you resistance to radiant damage for 1d4 hours.,When you recieve Temporary Hit Points you gain an extra 1d4.,Alchemical Torch - 10 g Bright light in 40 ft radius and dim light for an additional 20 feet. Melee attack 1d4 fire damage.,Imprint Capsule - Any being that enters this booth is bombarded with smoke and emerges spluttering. They imprint upon the next being they see and dedicate their life to them until they next sleep.,Wand of magic missiles,Brazier of commanding fire elementals,Wand of polymorph
23,"Banquet Set of Lord Blackbasin - A stunning mahogany table, ten sturdy chairs upholstered in luxurious velvet, and a complete set of silver serving trays, plates, goblets, vessels, and flatware rimmed with tasteful scrollwork. About three hours after all of the seats are occupied and a feast considered elegant by local standards is served, a virulent and fast-acting poison will manifest in the stomachs of all attendees except those seated at the head and foot of the table. If a chair or piece of silver is moved more than 500 feet from the table, it instantly vanishes and reappears at the table.",Crown of the False King - A tin crown that increases the confidence and self image of those who wear it. Made for a shy human boy who had trouble talking to people. Grants +2 to Charisma.,A horn that when blown can clearly be heard by everyone within 300 feet. After blowing the horn the user's words are amplified for the next minute and can also be heard by everyone within 300 feet.,A crystal goblet that bounces instead of shattering whenever it is dropped.,You can speak to animals for 1d4 hours.,You are immune to the crushing depths of oceans and can breath underwater.,"Collapsible Scarecrow - 10 g A humanoid dummy that can be folded up into a backpack. It comes with a threadbare set of common clothes, but can be dressed otherwise.","Terrormite - A big termite, pinned down in its box. Once released it burrows into the nearest living creature it can find, causing intense pain. Within a minute the victim develops a tough outer skin (Armour 1) and find they can spit acid (d6 ongoing). This lasts for an hour until the victim coughs out d6 Terrormite larva and returns to normal. If two terrormites enter the same host they fight inside them, causing d8 STR loss.","Wand of the war mage, + 1",Cape of the mountebank,"Wand of the war mage, + 3"
24,"The Morningstar of Guilt (+1) - A dark morningstar with negative words like ""Failure, hypocrite, & loser"" messily etched on the weapon in different languages. Anyone hit with this Morningstar makes a DC 14 Wisdom saving throw, on a failed save the target feels a wave of deep guilt from their past and lose a turn contemplating it. After 3 failed saves, the target is completely passive and depressed, overwhelmed by their guilt. This similar effect also impacts the wielder of the weapon every 1d4 days at the most inopportune time.","Daryl’s Vest of Haste - A black leather vest with wings painted on the back. This vest gives the wearer advantage on Initiative rolls and +2 to Intimidation rolls, plus proficiency with Crossbows.",An ancient and unbreakable ring.,"A bedroll which can be folded to fit inside your pocket, and weights only 2 lbs.",You gain 1d10 hit points each round for 1d4 rounds.,"You know the value of all Gems, Jewelry, Art Objects, and Trade Goods within sight.",Crook Eye - 10 g A mirror on a metal rod that collapses from 5 ft down to 1 ft.,"Chameleomole - A tiny mammal that can phase into any material without disturbing it. It can talk, but is extremely shy and will only answer a question with one word before phasing into hiding in their master's body.",Wand of web,Censer of controlling air elementals,Adamantine armor (half plate)
25,"Vengeance of the Ent-wives: A gentle caress of this beautiful greenish orb coats every wooden surface within a specified radius with splinters, the radius increasing with the magical potency of the wielder. Over time, the untouched surfaces weaken due to the microscopic voids created by the splintering, which can destroy entire settlements and kill off whole forests if there are none willing or able to undo the effect.","Death Elk Head - The severed, decomposed head of a Giant Elk. It’s been reanimated by necromancy and roars ominously when it makes eye contact with another living being. Choose one creature that you can see within 30 feet of you. If the creature can see or hear the Death Elk Head, it must succeed on a Wisdom saving throw (DC 14) or be frightened of you until the end of your next turn. It holds one charge, and must be recharged by dipping it in fresh blood.",A laurel necklace or circlet that never wilt.,A lantern that ignites itself whenever the sun goes down.,You don't need to sleep for 1d8 days.,You can ignore 1 level of Exhaustion (you will not die until 7th level).,"Dog Whistle - 1 g Allows user to silently summon or send commands to familiar or animal companion, no matter the species.",Earth-Angel - A tiny clay figurine that can be smashed to cause an earthquake. Those nearby are thrown to the ground and all structures take d12 damage.,Weapon of warning,"Armor, +1 chain mail",Adamantine armor (plate)
26,Kinslayers: When this matching pair of rust colored daggers are held by the same person any damage caused by them is also caused to the victim's oldest living child.,"Demogogue’s Tie - A big red necktie that hangs down to the wearer’s crotch. When worn, the tie causes the wearer’s hair to become pale and wispy, and causes their skin to become orange and leathery. The wearer’s INT is reduced by 3 while wearing the tie and they use the word “tremendous” a lot. When the wearer speaks, everyone in earshot must make a DC 15 WIS save, and everyone who fails will believe whatever the tie-wearer has said, no matter how ridiculous.",A key that opens any lock that you locked with that key.,"An enchanted jar that holds a little gelatinous cube, which eats any material you drop into it.",You are cured of any diseases that you have.,You have Advantage on all Death Saves.,Dowsing Rod - 5 g Survival checks to find water have +2.,"Wild Tongue - You can talk with any living thing, but what they tell you might not make sense.",Adamantine armor (chain mail),Armor of resistance (chain mail),Animated shield
